50 150
14 28 38
29 41 17
37 39 60
1 28 73
17 36 53
46 39 92
10 27 95
11 34 34
38 5 24
49 14 59
5 40 4
18 32 80
40 1 49
3 36 93
9 14 25
41 17 51
19 29 95
3 29 12
29 44 63
2 24 7
23 46 8
18 31 68
8 2 44
38 46 92
39 14 90
34 26 36
41 25 11
26 11 68
38 28 23
4 42 67
17 2 2
28 37 12
17 43 96
26 10 98
8 29 94
20 38 65
29 0 18
49 20 62
14 23 17
47 9 87
41 30 87
33 34 73
3 43 94
41 44 58
24 41 46
44 3 62
44 36 75
20 46 84
14 16 60
23 37 45
49 47 9
17 3 28
0 19 88
7 36 71
9 37 71
37 47 6
30 7 46
7 25 100
4 13 94
5 20 35
45 12 60
42 31 25
31 4 49
9 46 16
19 36 42
16 28 68
15 34 74
5 16 78
46 16 84
47 1 27
7 17 19
0 36 5
28 9 18
19 7 77
33 26 15
49 46 6
43 7 56
10 21 39
0 30 57
32 42 34
39 20 85
36 2 81
40 9 22
2 30 20
47 20 56
16 49 21
38 47 3
37 46 51
0 25 99
15 33 86
13 31 76
3 8 71
34 10 9
29 24 40
20 40 19
5 23 42
27 21 37
29 25 72
24 25 64
9 5 54
0 8 83
41 7 14
23 28 21
24 48 86
30 3 41
25 3 87
30 19 78
44 8 58
0 43 98
8 25 49
49 40 53
32 4 41
40 28 58
16 40 27
44 7 19
8 36 18
24 0 31
36 30 86
2 41 61
24 43 99
38 40 15
8 17 7
5 37 39
19 8 23
27 11 82
48 29 86
49 5 88
7 8 13
7 3 73
19 48 35
40 46 39
43 8 70
24 17 79
1 5 97
9 38 65
49 37 11
38 1 89
1 49 91
42 18 23
49 38 41
17 29 53
16 1 47
41 36 81
13 18 13
43 36 59
27 33 41
11 10 32
37 1 9
43 30 7
1 23 68
