1000 9940
371 110 87
287 57 1
825 404 26
592 661 67
36 68 107
420 701 -4
753 861 100
540 151 57
790 456 84
156 749 -37
968 416 -36
394 634 103
870 672 134
487 694 70
868 425 59
603 173 97
25 989 78
716 854 87
169 543 1
523 250 57
558 44 110
599 822 11
365 76 39
905 275 115
262 46 -9
969 693 58
206 527 102
492 719 75
650 68 86
520 240 57
690 66 38
163 950 108
275 830 -11
279 417 89
79 536 76
763 426 83
928 375 79
23 891 21
807 904 23
598 248 0
372 276 112
543 938 57
131 21 67
798 472 80
816 514 130
423 22 85
472 470 28
231 636 -2
181 210 99
374 526 42
221 791 110
93 559 51
26 51 163
461 926 74
649 919 0
371 779 47
848 543 96
467 312 0
867 855 14
833 652 64
411 948 105
5 454 81
206 702 50
432 673 59
96 611 -19
344 715 -79
156 614 -35
7 984 60
493 166 1
10 83 169
854 192 137
576 326 41
950 384 43
398 184 21
544 48 -1
744 947 -35
426 428 3
76 656 35
935 889 -2
682 852 42
148 143 126
323 642 53
645 109 9
563 782 12
724 221 -29
349 786 85
67 136 101
814 971 112
59 294 71
900 927 -9
85 440 86
597 252 -5
825 852 47
133 383 40
429 371 15
772 295 97
264 725 98
915 920 -15
976 547 45
878 925 23
754 819 92
701 927 108
539 837 -5
538 38 72
291 440 105
949 269 61
801 718 71
963 977 94
405 236 152
57 185 44
707 456 43
826 643 53
478 120 153
947 146 91
973 504 101
545 53 135
828 52 86
422 744 151
809 1 -17
308 897 77
851 319 100
574 178 53
438 198 -14
998 269 33
660 485 51
615 476 77
686 622 94
479 269 59
795 76 85
154 263 94
348 794 46
349 888 82
537 185 79
654 930 4
397 195 2
369 138 86
994 304 14
490 679 121
449 844 23
880 93 117
720 415 52
146 743 56
920 640 33
542 648 6
253 853 129
585 472 53
92 134 -21
533 823 59
159 655 23
426 630 7
283 963 71
461 4 49
823 11 4
313 845 -11
884 44 -15
261 361 11
707 564 -10
626 809 63
741 481 57
732 148 102
956 66 99
394 913 113
497 940 34
256 648 45
865 562 4
973 179 54
330 123 -39
379 360 14
288 149 119
381 518 164
706 750 -44
975 664 10
304 703 5
257 942 46
806 521 74
925 944 114
111 361 27
376 304 119
677 24 134
170 241 34
102 743 56
388 95 -2
851 862 145
533 636 65
880 434 66
368 325 -17
717 951 17
906 424 -3
348 230 -39
802 543 41
927 511 10
185 71 35
836 397 44
846 809 -1
367 173 54
547 768 28
851 506 66
224 956 -25
552 239 -13
933 703 8
678 550 175
940 781 84
282 863 109
754 337 51
687 520 40
749 651 151
886 733 125
879 505 -2
582 723 9
806 779 60
630 152 80
118 419 56
160 434 39
240 697 -4
475 767 77
509 472 33
626 354 -21
808 327 60
684 443 -10
439 589 45
901 836 122
884 691 78
811 145 75
437 898 152
661 783 5
103 989 63
684 442 89
459 733 102
608 39 60
454 626 64
316 729 68
270 89 95
109 528 115
613 736 97
181 162 59
630 335 72
940 434 27
741 42 46
153 45 48
660 724 63
163 288 55
994 902 87
898 794 9
757 712 93
60 736 128
937 218 107
292 562 77
144 831 34
649 821 -2
914 651 87
894 230 25
94 947 18
106 399 126
709 61 -15
379 146 -14
977 289 38
402 142 70
876 488 89
201 428 9
220 915 21
239 21 85
785 764 60
924 611 30
442 186 -27
972 272 87
327 657 99
452 146 71
443 195 137
372 19 20
827 53 106
951 772 0
462 203 136
418 718 124
529 677 81
865 780 105
635 165 19
931 153 43
207 283 39
604 88 23
860 37 -47
985 932 18
210 604 8
173 495 19
672 296 27
376 386 157
343 366 40
555 337 25
493 74 61
608 642 47
706 40 7
63 68 29
135 347 61
754 114 71
894 2 29
811 16 25
170 6 -52
537 373 145
936 727 58
429 337 50
181 238 -37
138 706 72
798 637 52
529 934 37
861 624 -9
258 913 147
847 187 22
759 633 95
310 713 46
335 883 17
456 358 30
537 269 94
389 870 80
639 75 107
630 719 154
447 49 108
436 977 99
254 815 67
593 628 -29
204 903 -4
251 329 55
289 488 -71
678 182 159
157 427 40
268 889 109
